iter	Passed	Remaining
0	140	140827
1	142	71044
2	144	47898
3	145	36250
4	147	29277
5	148	24586
6	149	21171
7	150	18637
8	151	16627
9	151	15034
10	153	13775
11	154	12685
12	154	11760
13	155	10966
14	156	10277
15	157	9672
16	158	9139
17	158	8668
18	159	8244
19	160	7865
20	161	7517
21	161	7200
22	162	6915
23	163	6651
24	164	6412
25	165	6188
26	165	5980
27	166	5787
28	167	5610
29	168	5446
30	169	5291
31	169	5136
32	170	4992
33	170	4855
34	171	4726
35	171	4605
36	172	4491
37	173	4381
38	173	4276
39	174	4179
40	174	4083
41	175	3996
42	175	3911
43	176	3830
44	176	3751
45	177	3677
46	177	3606
47	178	3541
48	179	3475
49	179	3413
50	180	3350
51	180	3292
52	181	3237
53	181	3183
54	182	3131
55	182	3081
56	183	3033
57	183	2987
58	184	2940
59	184	2895
60	185	2853
61	185	2811
62	186	2771
63	186	2731
64	187	2694
65	187	2658
66	188	2623
67	188	2584
68	189	2551
69	189	2519
70	190	2488
71	190	2457
72	191	2427
73	191	2398
74	192	2371
75	192	2344
76	193	2318
77	193	2292
78	194	2267
79	195	2243
80	195	2221
81	196	2198
82	196	2175
83	197	2153
84	197	2129
85	198	2109
86	198	2087
87	199	2068
88	200	2048
89	200	2029
90	201	2010
91	201	1992
92	202	1974
93	203	1957
94	203	1941
95	204	1925
96	205	1909
97	205	1893
98	206	1878
99	207	1863
100	207	1848
101	208	1831
102	209	1823
103	210	1809
104	210	1796
105	211	1782
106	211	1768
107	212	1755
108	213	1743
109	213	1730
110	214	1718
111	215	1705
112	215	1694
113	216	1682
114	217	1670
115	217	1658
116	218	1647
117	218	1636
118	219	1625
119	220	1614
120	220	1604
121	221	1594
122	221	1581
123	222	1571
124	223	1561
125	223	1552
126	224	1543
127	224	1532
128	225	1523
129	226	1513
130	226	1505
131	227	1496
132	228	1488
133	228	1479
134	229	1470
135	230	1462
136	231	1455
137	231	1446
138	232	1438
139	233	1431
140	233	1423
141	234	1415
142	234	1408
143	235	1400
144	236	1393
145	236	1385
146	237	1378
147	238	1370
148	238	1363
149	239	1357
150	240	1350
151	240	1343
152	241	1336
153	242	1329
154	242	1323
155	243	1316
156	244	1310
157	244	1304
158	245	1297
159	246	1291
160	246	1285
161	247	1279
162	247	1273
163	248	1267
164	249	1261
165	249	1255
166	250	1249
167	251	1244
168	252	1239
169	252	1234
170	253	1229
171	254	1224
172	255	1219
173	255	1213
174	256	1207
175	256	1202
176	257	1197
177	258	1192
178	258	1187
179	259	1182
180	259	1175
181	260	1171
